coordinate_id,bubble_id,coverage_level,agent,diameter_um,radius_dpd,ka_dpd,kb_dpd,mass_scale,omega0_dpd,omega0_uncertainty_dpd
Definity_d2.10_ka3500,d1,low,definity,2.1,4.2,3500.0,389.2325564501215,160.0,8.259580429372939,0.05125821085986024
Definity_d2.10_ka18750,d1,central,definity,2.1,4.2,18750.0,389.2325564501215,160.0,20.623334829002957,0.022417142924481475
Definity_d2.10_ka34000,d1,high,definity,2.1,4.2,34000.0,389.2325564501215,160.0,28.178371038825222,0.017279794520936437
Definity_d2.90_ka3500,d2,low,definity,2.9,5.8,3500.0,389.2325564501215,160.0,5.45761403227758,0.02474457528617653
Definity_d2.90_ka18750,d2,central,definity,2.9,5.8,18750.0,389.2325564501215,160.0,14.726503684312375,0.008004003167076766
Definity_d2.90_ka34000,d2,high,definity,2.9,5.8,34000.0,389.2325564501215,160.0,19.320566412101677,0.03527527459833217
Definity_d3.00_ka3500,d3,low,definity,3.0,6.0,3500.0,389.2325564501215,160.0,5.286680126038658,0.018566346304987942
Definity_d3.00_ka18750,d3,central,definity,3.0,6.0,18750.0,389.2325564501215,160.0,14.230394022548712,0.007315161691578657
Definity_d3.00_ka34000,d3,high,definity,3.0,6.0,34000.0,389.2325564501215,160.0,18.70834550616597,0.026398207753176965
SonoVue_d3.20_ka3057.894737,d4,low,sonovue,3.2,6.4,3057.8947368421054,7850.288865935088,160.0,4.4629989720378855,0.01311431253250462
SonoVue_d3.20_ka22522.61307,d4,central,sonovue,3.2,6.4,22522.613065326634,7850.288865935088,160.0,14.393703535338163,0.005096049359750603
SonoVue_d3.20_ka42000,d4,high,sonovue,3.2,6.4,42000.0,7850.288865935088,160.0,19.61662878709719,0.003974953736666284
SonoVue_d3.40_ka2773.684211,d5,low,sonovue,3.4,6.8,2773.684210526316,7850.288865935088,160.0,4.0391530814608805,0.01062830025108754
SonoVue_d3.40_ka22402.01005,d5,central,sonovue,3.4,6.8,22402.010050251258,7850.288865935088,160.0,13.418135039895274,0.003887947441306242
SonoVue_d3.40_ka42000,d5,high,sonovue,3.4,6.8,42000.0,7850.288865935088,160.0,18.299763895361874,0.003507821971021662
SonoVue_d5.80_ka500,d6,low,sonovue,5.8,11.6,500.0,7850.288865935088,160.0,2.5446079077929986,0.025970704208700214
SonoVue_d5.80_ka21195.9799,d6,central,sonovue,5.8,11.6,21195.979899497488,7850.288865935088,160.0,7.219363568173799,0.008290272587417762
SonoVue_d5.80_ka42000,d6,high,sonovue,5.8,11.6,42000.0,7850.288865935088,160.0,10.13683440103394,0.006496918721178132
