mode_index,omega_tau_inv
0,23.057317035811675
1,23.280624077588033
2,24.528779253636927
3,24.95252468087781
4,39.48350335447111
5,39.75917533102286
6,45.26022690245565
7,45.56609740670461
8,47.579590976175425
9,48.12355049546702
10,54.50593251761217
11,55.215651135005984
12,60.35131372374772
13,60.42589078642208
14,63.5663082437276
15,63.93060931899641
16,64.03852318093075
17,64.07535768239583
18,64.58661887694144
19,65.01503063938027
20,65.86100802486754
21,66.06229143492772
22,67.5922411975543
23,69.85426108593265
24,70.50975706889685
25,71.32526881720429
26,72.00095955747466
27,73.99034798069596
28,74.33427345907516
29,74.59722981592859
